Ticker,Class,Sector,T,BIC_winner,LLF_winner,GARCH_LLF,GARCH_BIC,GARCH_beta,SEARCH_LLF,SEARCH_BIC,SEARCH_alpha,SEARCH_c,GMARCH_LLF,GMARCH_BIC,GMARCH_delta,GMARCH_lam,GMARCH_H,FIGARCH_LLF,FIGARCH_BIC,FIGARCH_d,FIGARCH_phi,FIGARCH_beta1,HYGARCH_LLF,HYGARCH_BIC,HYGARCH_d,HYGARCH_tau
GS,US Stock,Banks,6599,SEARCH,SEARCH,-6422.155424,12879.171743,0.922605,-6397.043650,12837.663419,0.284661,1.843842,-6401.861817,12847.299754,-0.499971,0.033790,0.250015,-6400.032261,12852.355866,0.091430,0.981439,0.965621,-6400.032272,12861.071112,0.091432,0.999988
C,US Stock,Banks,6599,SEARCH,SEARCH,-6716.877538,13468.615972,0.914282,-6680.702330,13404.980780,0.246502,2.480495,-6691.800330,13427.176780,-0.499815,0.035361,0.250093,-6682.028418,13416.348180,0.084225,0.964717,0.946972,-6682.028418,13425.063404,0.084224,1.000000
MS,US Stock,Banks,6599,SEARCH,SEARCH,-7191.133601,14417.128098,0.914077,-7171.839979,14387.256079,0.323983,1.516438,-7176.314092,14396.204305,-0.500000,0.037839,0.250000,-7173.670121,14399.631585,0.052117,0.956286,0.934401,-7173.670144,14408.346857,0.052121,0.999827
CVX,US Stock,Energy,6599,SEARCH,FIGARCH,-5161.342716,10357.546329,0.905660,-5155.943388,10355.462896,0.505186,0.639486,-5158.433716,10360.443551,-0.355053,0.057168,0.322473,-5154.565502,10361.422348,0.000327,0.897506,0.896966,-5154.566542,10370.139651,0.000685,0.428935
COP,US Stock,Energy,6599,SEARCH,FIGARCH,-6450.694643,12936.250183,0.930969,-6439.336764,12922.249648,0.384483,1.010914,-6439.510318,12922.596756,-0.499079,0.031632,0.250460,-6437.299273,12926.889891,0.038701,0.961951,0.945825,-6439.665619,12940.337807,0.196154,0.462037
SLB,US Stock,Energy,6599,SEARCH,FIGARCH,-7374.645486,14784.151868,0.949274,-7368.859126,14781.294372,0.470958,0.536054,-7369.750304,14783.076728,-0.392431,0.025811,0.303784,-7367.959822,14788.210988,0.000436,0.954091,0.953811,-7370.663784,14802.334135,0.147302,0.298858
WMT,US Stock,Consumer,6599,FIGARCH,HYGARCH,-4241.049319,8516.959534,0.929623,-4210.415954,8464.408029,0.160734,4.414373,-4220.766495,8485.109110,-0.499769,0.027189,0.250116,-4204.908842,8462.109029,0.164133,1.000000,0.983901,-4204.868342,8470.743253,0.193551,0.854223
MCD,US Stock,Consumer,6599,SEARCH,FIGARCH,-3988.335176,8011.531248,0.926931,-3965.214430,7974.004981,0.180566,3.827726,-3970.164998,7983.906116,-0.499586,0.034290,0.250207,-3963.309278,7978.909900,0.083543,0.970676,0.958939,-3963.309293,7987.625155,0.083559,0.999682
NKE,US Stock,Consumer,6599,SEARCH,SEARCH,-6255.085057,12545.031011,0.897718,-6194.667864,12432.911848,0.073066,10.727239,-6210.161603,12463.899326,-0.499993,0.016738,0.250004,-6194.760301,12441.811947,0.027891,0.988285,0.987570,-6194.784264,12450.575097,0.018061,0.584079
HD,US Stock,Consumer,6599,SEARCH,SEARCH,-5281.930921,10598.722739,0.918803,-5265.327249,10574.230619,0.358585,1.234063,-5268.655627,10580.887375,-0.499301,0.034741,0.250350,-5265.414014,10583.119371,0.007924,0.918316,0.912423,-5265.414006,10591.834580,0.007920,0.998888
COST,US Stock,Consumer,6599,SEARCH,SEARCH,-4934.347168,9903.555232,0.942960,-4898.285592,9840.147304,0.076257,10.523686,-4916.011884,9875.599888,-0.499990,0.022278,0.250005,-4899.454313,9851.199971,0.000084,1.000000,1.000000,-4899.453944,9859.914457,0.000064,0.924032
UNH,US Stock,Healthcare,6599,SEARCH,HYGARCH,-6208.798255,12452.457405,0.894146,-6171.851345,12387.278811,0.180260,3.384980,-6194.566393,12432.708906,-0.476155,0.013988,0.261923,-6170.934960,12394.161265,0.000358,0.855278,0.855114,-6170.919070,12402.844708,0.000244,0.995368
ABT,US Stock,Healthcare,6599,SEARCH,SEARCH,-4771.484442,9577.829781,0.944983,-4754.647139,9552.870399,0.331831,1.191836,-4757.314098,9558.204317,-0.499860,0.019802,0.250070,-4756.075372,9564.442089,0.000639,0.943377,0.943174,-4756.074542,9573.155653,0.000737,1.000000
MRK,US Stock,Healthcare,6599,SEARCH,FIGARCH,-5584.391670,11203.644236,0.907258,-5562.944374,11169.464869,0.029204,33.271702,-5571.352881,11186.281883,-0.491958,0.030174,0.254021,-5562.309692,11176.910728,0.006759,0.892104,0.891256,-5562.309945,11185.626458,0.007825,0.982766
