Ticker,Class,Sector,K,T,GARCH_LLF,GARCH_BIC,GARCH_beta,LKV_LLF,LKV_BIC,LR_stat,LR_df,LR_pval,LR_reject05,BIC_favors_spline,Half_Life,Tenth_Life,Hundredth_Life,SE_alpha,SE_c,SE_R2,SE_n_lags,Slope_1_5d,Slope_5_21d,Slope_21_63d,Slope_63_252d,g_1,g_2,g_5,g_10,g_21,g_42,g_63,g_126,g_252
FXY,Currency,JPY/USD,8,4812,263.680195,-493.887474,0.929467,278.916198,-465.781876,30.472006,7,0.000078,True,False,7,17,124,0.164791,3.556219,0.951012,99,-0.213090,-1.675586,-0.565386,-2.040929,1.000000,0.740947,0.672754,0.249085,0.071466,0.047818,0.034895,0.009621,0.002299
FXB,Currency,GBP/USD,8,4971,427.464363,-821.310836,0.918270,435.490200,-778.531204,16.051674,7,0.024648,True,False,9,18,103,0.212465,2.544057,0.917807,99,-0.156331,-1.812025,-0.647532,-12.518865,1.000000,0.685635,0.751797,0.376796,0.072177,0.037260,0.031387,0.001696,0.000000
FXA,Currency,AUD/USD,8,4971,-506.132729,1045.883347,0.944794,-502.138191,1096.725578,7.989075,7,0.333558,False,False,8,36,125,0.576130,0.324123,0.928071,97,-0.154082,-0.349083,-2.529783,-6.382785,1.000000,1.213849,0.759196,0.415068,0.366887,0.064260,0.028577,0.009536,0.000010
FXC,Currency,CAD/USD,8,4971,1126.668523,-2219.719157,0.953777,1128.887314,-2165.325432,4.437582,7,0.728220,False,False,13,45,54,2.928809,0.000040,0.989282,77,-0.137207,-0.838989,-5.796440,-11.959256,1.000000,0.779180,0.801670,0.646056,0.319399,0.147619,0.000436,0.000000,0.000000
FXF,Currency,CHF/USD,8,4971,87.773652,-141.929414,0.949759,121.791877,-151.134559,68.036451,7,0.000000,True,True,8,28,32,1.814899,0.009150,0.954064,46,0.266305,0.824173,-14.251918,-2.425266,1.000000,1.085651,1.307344,0.433493,1.253596,0.000103,0.000001,0.000001,0.000000
GLD,Commodity,Precious Metals,8,5373,-2522.053978,5078.070532,0.920912,-2504.146949,5101.690980,35.814059,7,0.000008,True,False,8,21,125,0.175416,2.950569,0.929468,96,-0.024189,-1.638171,-0.605549,-5.306242,1.000000,1.167573,0.915506,0.318357,0.097637,0.060128,0.046785,0.009320,0.000059
SLV,Commodity,Precious Metals,8,5011,-4874.115798,9781.885144,0.930637,-4864.896778,9822.340812,18.438041,7,0.010142,True,False,7,24,116,0.234995,2.153631,0.954936,99,-0.278127,-1.138132,-1.494849,-8.205841,1.000000,0.580485,0.604709,0.283542,0.120394,0.036825,0.024902,0.005888,0.000001
USO,Commodity,Energy,8,5024,-5433.283616,10900.232302,0.882910,-5429.992640,10952.564219,6.581954,7,0.473663,False,False,5,19,41,1.657662,0.010950,0.976328,71,-0.503634,-1.187944,-7.436160,-10.074457,1.000000,0.839137,0.441494,0.219181,0.085702,0.007928,0.000024,0.000000,0.000000
UNG,Commodity,Energy,8,4768,-6520.349199,13074.130250,0.916830,-6513.833992,13119.605577,13.030414,7,0.071371,False,False,14,32,38,3.000000,0.000106,0.956505,38,0.033505,-1.455960,-27.441956,-0.113065,1.000000,1.111038,1.094975,1.045718,0.231913,0.000412,0.000000,0.000000,0.000000
DBA,Commodity,Agriculture,8,4838,-1318.373767,2670.244519,0.929609,-1314.341259,2720.799226,8.065017,7,0.326896,False,False,11,36,42,3.000000,0.000074,0.942782,52,-0.335357,-1.143562,-17.724428,-2.399181,1.000000,1.212612,0.619546,0.545478,0.192372,0.008617,0.000000,0.000000,0.000000
